session_id,user_id,date,month,week,source,device,landing_page,pages_viewed,session_duration_sec,bounced,is_new_user,ab_group,converted
S00067,U0046,2024-10-02,2024-10,2024-W40,Organic,Desktop,/,2,172,0,1,,0
S00068,U0035,2024-10-02,2024-10,2024-W40,Organic,Desktop,/,1,389,0,0,,0
S00069,U0047,2024-10-02,2024-10,2024-W40,Direct,Desktop,/pricing,1,189,0,1,,0
S00070,U0048,2024-10-02,2024-10,2024-W40,Direct,Desktop,/pricing,3,29,0,1,,0
S00071,U0049,2024-10-02,2024-10,2024-W40,Email,Desktop,/,4,117,0,1,,0
S00072,U0050,2024-10-02,2024-10,2024-W40,Organic,Mobile,/services,3,67,0,1,,0
S00073,U0002,2024-10-02,2024-10,2024-W40,Direct,Desktop,/,1,98,0,0,,0
S00074,U0015,2024-10-02,2024-10,2024-W40,Organic,Desktop,/services,4,58,0,0,,1
S00075,U0051,2024-10-02,2024-10,2024-W40,Organic,Desktop,/services,2,613,0,1,,1
S00076,U0003,2024-10-02,2024-10,2024-W40,Direct,Mobile,/,4,278,0,0,,0
S00077,U0016,2024-10-02,2024-10,2024-W40,Organic,Desktop,/services,2,112,0,0,,0
S00078,U0052,2024-10-02,2024-10,2024-W40,Direct,Tablet,/pricing,3,90,0,1,,0
S00079,U0053,2024-10-02,2024-10,2024-W40,Organic,Desktop,/,4,276,0,1,,0
S00080,U0054,2024-10-02,2024-10,2024-W40,Direct,Desktop,/tutors,1,214,0,1,,0
S00081,U0055,2024-10-02,2024-10,2024-W40,Organic,Mobile,/,1,171,0,1,,0
S00082,U0043,2024-10-02,2024-10,2024-W40,Organic,Desktop,/tutors,5,68,0,0,,0
S00083,U0056,2024-10-02,2024-10,2024-W40,Direct,Desktop,/,5,287,0,1,,0
S00084,U0057,2024-10-02,2024-10,2024-W40,Email,Mobile,/,3,154,0,1,,0
S00085,U0058,2024-10-02,2024-10,2024-W40,Organic,Mobile,/services,5,228,0,1,,0
S00086,U0059,2024-10-03,2024-10,2024-W40,Direct,Desktop,/contact,5,953,0,1,,0
S00087,U0060,2024-10-03,2024-10,2024-W40,Direct,Desktop,/,4,237,0,1,,0
S00088,U0029,2024-10-03,2024-10,2024-W40,Organic,Mobile,/tutors,1,130,0,0,,0
S00089,U0030,2024-10-03,2024-10,2024-W40,Email,Mobile,/services,2,415,0,0,,0
S00090,U0061,2024-10-03,2024-10,2024-W40,Email,Desktop,/,5,120,0,1,,0
S00091,U0062,2024-10-03,2024-10,2024-W40,Organic,Desktop,/tutors,3,207,0,1,,0
S00092,U0035,2024-10-03,2024-10,2024-W40,Direct,Mobile,/about,1,353,0,0,,0
S00093,U0063,2024-10-03,2024-10,2024-W40,Paid,Mobile,/services,3,266,0,1,,0
S00094,U0064,2024-10-03,2024-10,2024-W40,Email,Tablet,/,4,216,0,1,,0
S00095,U0065,2024-10-03,2024-10,2024-W40,Paid,Mobile,/,1,1381,0,1,,0
S00096,U0066,2024-10-03,2024-10,2024-W40,Social,Desktop,/,4,275,0,1,,0
S00097,U0067,2024-10-03,2024-10,2024-W40,Email,Desktop,/services,1,147,0,1,,0
S00098,U0059,2024-10-03,2024-10,2024-W40,Direct,Mobile,/tutors,3,54,0,0,,0
S00099,U0068,2024-10-03,2024-10,2024-W40,Organic,Tablet,/,3,146,0,1,,0
S00100,U0069,2024-10-03,2024-10,2024-W40,Email,Desktop,/,2,74,0,1,,0
S00101,U0070,2024-10-03,2024-10,2024-W40,Direct,Mobile,/,3,550,0,1,,0
S00102,U0008,2024-10-03,2024-10,2024-W40,Social,Tablet,/,3,21,0,0,,0
S00103,U0071,2024-10-03,2024-10,2024-W40,Organic,Mobile,/,2,168,0,1,,0
S00104,U0062,2024-10-03,2024-10,2024-W40,Organic,Mobile,/,2,185,0,0,,0
S00105,U0072,2024-10-03,2024-10,2024-W40,Organic,Mobile,/about,3,218,0,1,,0
S00106,U0073,2024-10-03,2024-10,2024-W40,Organic,Desktop,/,1,221,0,1,,0
S00107,U0009,2024-10-03,2024-10,2024-W40,Direct,Desktop,/services,3,67,0,0,,0
S00108,U0016,2024-10-03,2024-10,2024-W40,Direct,Desktop,/about,3,94,0,0,,0
S00109,U0074,2024-10-03,2024-10,2024-W40,Direct,Mobile,/,1,138,0,1,,0
S00110,U0011,2024-10-03,2024-10,2024-W40,Direct,Mobile,/pricing,1,532,0,0,,0
S00111,U0075,2024-10-03,2024-10,2024-W40,Paid,Desktop,/about,1,117,0,1,,0
S00112,U0076,2024-10-03,2024-10,2024-W40,Organic,Mobile,/,4,97,0,1,,0
S00113,U0077,2024-10-03,2024-10,2024-W40,Organic,Mobile,/services,4,222,0,1,,0
S00114,U0078,2024-10-03,2024-10,2024-W40,Direct,Desktop,/tutors,2,397,0,1,,0
S00115,U0041,2024-10-03,2024-10,2024-W40,Organic,Desktop,/contact,4,86,0,0,,0
S00116,U0079,2024-10-03,2024-10,2024-W40,Email,Desktop,/,1,61,0,1,,1
S00117,U0080,2024-10-03,2024-10,2024-W40,Direct,Desktop,/,2,1405,0,1,,0
S00118,U0069,2024-10-03,2024-10,2024-W40,Email,Desktop,/,5,167,0,0,,0
S00119,U0045,2024-10-03,2024-10,2024-W40,Direct,Desktop,/services,7,63,0,0,,0
S00120,U0081,2024-10-03,2024-10,2024-W40,Organic,Tablet,/pricing,1,151,0,1,,0
S00121,U0070,2024-10-03,2024-10,2024-W40,Paid,Desktop,/tutors,1,348,0,0,,0
S00122,U0082,2024-10-03,2024-10,2024-W40,Organic,Mobile,/tutors,7,201,0,1,,0
S00123,U0083,2024-10-03,2024-10,2024-W40,Organic,Desktop,/,2,216,0,1,,1
S00124,U0084,2024-10-03,2024-10,2024-W40,Direct,Mobile,/,4,123,0,1,,0
S00125,U0085,2024-10-03,2024-10,2024-W40,Social,Desktop,/tutors,6,193,0,1,,0
S00126,U0015,2024-10-03,2024-10,2024-W40,Social,Tablet,/,4,425,0,0,,0
S00127,U0086,2024-10-04,2024-10,2024-W40,Organic,Desktop,/services,5,176,0,1,,0
S00128,U0027,2024-10-04,2024-10,2024-W40,Social,Tablet,/contact,4,218,0,0,,0
S00129,U0082,2024-10-04,2024-10,2024-W40,Direct,Mobile,/,1,51,0,0,,0
S00130,U0087,2024-10-04,2024-10,2024-W40,Email,Desktop,/services,5,192,0,1,,0
S00131,U0088,2024-10-04,2024-10,2024-W40,Email,Mobile,/tutors,2,238,0,1,,1
S00132,U0089,2024-10-04,2024-10,2024-W40,Direct,Desktop,/about,2,134,0,1,,0
S00133,U0043,2024-10-04,2024-10,2024-W40,Paid,Mobile,/services,2,280,0,0,,0
S00134,U0090,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,1,431,0,1,,0
S00135,U0091,2024-10-04,2024-10,2024-W40,Email,Desktop,/,5,178,0,1,,0
S00136,U0092,2024-10-04,2024-10,2024-W40,Social,Mobile,/about,9,469,0,1,,1
S00137,U0089,2024-10-04,2024-10,2024-W40,Social,Desktop,/pricing,2,158,0,0,,0
S00138,U0093,2024-10-04,2024-10,2024-W40,Social,Desktop,/,1,203,0,1,,0
S00139,U0094,2024-10-04,2024-10,2024-W40,Direct,Tablet,/pricing,3,61,0,1,,0
S00140,U0040,2024-10-04,2024-10,2024-W40,Direct,Tablet,/contact,3,329,0,0,,0
S00141,U0095,2024-10-04,2024-10,2024-W40,Email,Desktop,/,1,427,0,1,,0
S00142,U0046,2024-10-04,2024-10,2024-W40,Direct,Desktop,/,6,79,0,0,,0
S00143,U0014,2024-10-04,2024-10,2024-W40,Organic,Desktop,/,4,325,0,0,,0
S00144,U0096,2024-10-04,2024-10,2024-W40,Email,Mobile,/tutors,1,430,0,1,,0
S00145,U0097,2024-10-04,2024-10,2024-W40,Email,Desktop,/contact,3,304,0,1,,0
S00146,U0098,2024-10-04,2024-10,2024-W40,Direct,Mobile,/tutors,2,167,0,1,,0
S00147,U0023,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,6,271,0,0,,0
S00148,U0095,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,3,177,0,0,,0
S00149,U0099,2024-10-04,2024-10,2024-W40,Email,Desktop,/,1,175,0,1,,0
S00150,U0100,2024-10-04,2024-10,2024-W40,Email,Desktop,/,1,57,0,1,,0
S00151,U0021,2024-10-04,2024-10,2024-W40,Organic,Desktop,/services,3,51,0,0,,0
S00152,U0005,2024-10-04,2024-10,2024-W40,Organic,Desktop,/tutors,4,333,0,0,,0
S00153,U0059,2024-10-04,2024-10,2024-W40,Organic,Desktop,/,1,89,0,0,,0
S00154,U0101,2024-10-04,2024-10,2024-W40,Organic,Desktop,/,4,186,0,1,,0
S00155,U0085,2024-10-04,2024-10,2024-W40,Direct,Mobile,/about,6,190,0,0,,0
S00156,U0102,2024-10-04,2024-10,2024-W40,Direct,Mobile,/,4,108,0,1,,0
S00157,U0103,2024-10-04,2024-10,2024-W40,Organic,Desktop,/services,4,140,0,1,,0
S00158,U0104,2024-10-04,2024-10,2024-W40,Direct,Mobile,/tutors,4,254,0,1,,0
S00159,U0105,2024-10-04,2024-10,2024-W40,Organic,Desktop,/contact,5,147,0,1,,0
S00160,U0106,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,6,47,0,1,,0
S00161,U0107,2024-10-04,2024-10,2024-W40,Direct,Mobile,/,4,277,0,1,,0
S00162,U0108,2024-10-04,2024-10,2024-W40,Organic,Tablet,/about,3,66,0,1,,0
S00163,U0056,2024-10-04,2024-10,2024-W40,Direct,Desktop,/tutors,3,454,0,0,,0
S00164,U0109,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,3,45,0,1,,0
S00165,U0110,2024-10-04,2024-10,2024-W40,Organic,Desktop,/,4,402,0,1,,0
S00166,U0111,2024-10-04,2024-10,2024-W40,Organic,Mobile,/,6,122,0,1,,0
S00167,U0056,2024-10-04,2024-10,2024-W40,Organic,Desktop,/,1,324,0,0,,1
S00168,U0112,2024-10-04,2024-10,2024-W40,Direct,Tablet,/,2,188,0,1,,0
S00169,U0113,2024-10-05,2024-10,2024-W40,Direct,Desktop,/,1,963,0,1,,0
S00170,U0114,2024-10-05,2024-10,2024-W40,Email,Desktop,/about,4,162,0,1,,0
S00171,U0086,2024-10-05,2024-10,2024-W40,Organic,Mobile,/contact,3,176,0,0,,0
S00172,U0115,2024-10-05,2024-10,2024-W40,Email,Mobile,/,3,900,0,1,,0
S00173,U0039,2024-10-05,2024-10,2024-W40,Email,Tablet,/tutors,5,405,0,0,,0
S00174,U0116,2024-10-05,2024-10,2024-W40,Social,Mobile,/services,3,148,0,1,,0
S00175,U0117,2024-10-05,2024-10,2024-W40,Organic,Desktop,/services,3,65,0,1,,0
S00176,U0086,2024-10-05,2024-10,2024-W40,Organic,Desktop,/services,5,48,0,0,,0
S00177,U0118,2024-10-05,2024-10,2024-W40,Direct,Desktop,/contact,6,71,0,1,,0
S00178,U0119,2024-10-05,2024-10,2024-W40,Organic,Desktop,/tutors,1,53,0,1,,0
S00179,U0120,2024-10-05,2024-10,2024-W40,Social,Desktop,/,2,155,0,1,,1
S00180,U0056,2024-10-05,2024-10,2024-W40,Organic,Mobile,/services,4,282,0,0,,0
S00181,U0121,2024-10-05,2024-10,2024-W40,Organic,Desktop,/tutors,2,83,0,1,,0
S00182,U0122,2024-10-05,2024-10,2024-W40,Organic,Tablet,/tutors,3,281,0,1,,0
S00183,U0123,2024-10-05,2024-10,2024-W40,Paid,Mobile,/services,2,188,0,1,,0
S00184,U0124,2024-10-05,2024-10,2024-W40,Social,Mobile,/pricing,3,187,0,1,,0
S00185,U0125,2024-10-05,2024-10,2024-W40,Direct,Mobile,/about,3,219,0,1,,0
S00186,U0126,2024-10-05,2024-10,2024-W40,Organic,Desktop,/tutors,1,96,0,1,,0
S00187,U0122,2024-10-05,2024-10,2024-W40,Direct,Mobile,/tutors,3,116,0,0,,0
S00188,U0127,2024-10-05,2024-10,2024-W40,Direct,Desktop,/pricing,4,60,0,1,,0
S00189,U0004,2024-10-05,2024-10,2024-W40,Direct,Desktop,/services,1,75,0,0,,1
S00190,U0128,2024-10-05,2024-10,2024-W40,Organic,Mobile,/,4,102,0,1,,0
S00191,U0129,2024-10-05,2024-10,2024-W40,Organic,Mobile,/tutors,1,690,0,1,,0
S00192,U0130,2024-10-05,2024-10,2024-W40,Paid,Desktop,/services,3,253,0,1,,0
S00193,U0131,2024-10-05,2024-10,2024-W40,Email,Desktop,/contact,3,434,0,1,,0
S00194,U0132,2024-10-05,2024-10,2024-W40,Paid,Desktop,/pricing,3,295,0,1,,0
S00195,U0133,2024-10-05,2024-10,2024-W40,Organic,Mobile,/,1,319,0,1,,0
S00196,U0134,2024-10-05,2024-10,2024-W40,Organic,Desktop,/services,3,389,0,1,,0
S00197,U0135,2024-10-05,2024-10,2024-W40,Direct,Mobile,/pricing,5,353,0,1,,0
S00198,U0136,2024-10-05,2024-10,2024-W40,Organic,Mobile,/services,4,185,0,1,,0
S00199,U0137,2024-10-05,2024-10,2024-W40,Organic,Mobile,/tutors,5,185,0,1,,0
S00200,U0138,2024-10-05,2024-10,2024-W40,Email,Desktop,/services,2,179,0,1,,1
S00201,U0119,2024-10-05,2024-10,2024-W40,Organic,Desktop,/,3,272,0,0,,0
S00202,U0139,2024-10-05,2024-10,2024-W40,Direct,Desktop,/pricing,3,189,0,1,,0
S00203,U0140,2024-10-05,2024-10,2024-W40,Direct,Desktop,/,1,115,0,1,,0
S00204,U0141,2024-10-05,2024-10,2024-W40,Email,Desktop,/services,6,130,0,1,,0
S00205,U0142,2024-10-05,2024-10,2024-W40,Organic,Mobile,/services,5,60,0,1,,0
S00206,U0143,2024-10-05,2024-10,2024-W40,Direct,Desktop,/services,2,151,0,1,,0
S00207,U0144,2024-10-05,2024-10,2024-W40,Organic,Desktop,/services,3,81,0,1,,0
S00208,U0064,2024-10-05,2024-10,2024-W40,Organic,Desktop,/pricing,4,176,0,0,,0
S00209,U0134,2024-10-05,2024-10,2024-W40,Social,Tablet,/about,4,106,0,0,,0
S00210,U0113,2024-10-05,2024-10,2024-W40,Direct,Mobile,/services,4,416,0,0,,0
S00211,U0070,2024-10-05,2024-10,2024-W40,Organic,Mobile,/pricing,1,907,0,0,,0
S00212,U0145,2024-10-05,2024-10,2024-W40,Organic,Desktop,/contact,1,202,0,1,,0
S00213,U0099,2024-10-05,2024-10,2024-W40,Email,Desktop,/,3,82,0,0,,0
S00214,U0146,2024-10-05,2024-10,2024-W40,Email,Mobile,/,1,62,0,1,,1
S00215,U0147,2024-10-05,2024-10,2024-W40,Paid,Desktop,/tutors,2,294,0,1,,0
S00216,U0148,2024-10-05,2024-10,2024-W40,Email,Mobile,/contact,1,517,0,1,,0
S00217,U0149,2024-10-06,2024-10,2024-W40,Paid,Mobile,/about,3,615,0,1,,0
S00218,U0150,2024-10-06,2024-10,2024-W40,Organic,Desktop,/,4,272,0,1,,0
S00219,U0151,2024-10-06,2024-10,2024-W40,Organic,Mobile,/pricing,7,62,0,1,,0
S00220,U0152,2024-10-06,2024-10,2024-W40,Email,Mobile,/,4,376,0,1,,1
S00221,U0153,2024-10-06,2024-10,2024-W40,Organic,Mobile,/tutors,6,118,0,1,,0
S00222,U0154,2024-10-06,2024-10,2024-W40,Email,Mobile,/,3,289,0,1,,0
S00223,U0155,2024-10-06,2024-10,2024-W40,Organic,Mobile,/services,4,507,0,1,,0
S00224,U0156,2024-10-06,2024-10,2024-W40,Email,Mobile,/pricing,1,129,0,1,,0
S00225,U0057,2024-10-06,2024-10,2024-W40,Organic,Mobile,/contact,2,56,0,0,,0
S00226,U0157,2024-10-06,2024-10,2024-W40,Organic,Desktop,/tutors,6,74,0,1,,0
S00227,U0158,2024-10-06,2024-10,2024-W40,Organic,Mobile,/tutors,2,209,0,1,,0
S00228,U0159,2024-10-06,2024-10,2024-W40,Direct,Mobile,/,5,92,0,1,,0
S00229,U0160,2024-10-06,2024-10,2024-W40,Organic,Desktop,/,3,316,0,1,,0
S00230,U0161,2024-10-06,2024-10,2024-W40,Direct,Desktop,/tutors,6,389,0,1,,0
S00231,U0162,2024-10-06,2024-10,2024-W40,Email,Desktop,/services,3,453,0,1,,0
S00232,U0110,2024-10-06,2024-10,2024-W40,Organic,Desktop,/pricing,1,142,0,0,,0
S00233,U0163,2024-10-06,2024-10,2024-W40,Organic,Desktop,/pricing,4,234,0,1,,1
S00234,U0164,2024-10-06,2024-10,2024-W40,Direct,Desktop,/pricing,1,161,0,1,,0
S00235,U0165,2024-10-06,2024-10,2024-W40,Direct,Desktop,/pricing,2,372,0,1,,0
S00236,U0166,2024-10-06,2024-10,2024-W40,Email,Tablet,/,1,337,0,1,,0
S00237,U0167,2024-10-06,2024-10,2024-W40,Organic,Desktop,/services,4,151,0,1,,0
S00238,U0005,2024-10-06,2024-10,2024-W40,Organic,Desktop,/,3,243,0,0,,0
S00239,U0090,2024-10-06,2024-10,2024-W40,Social,Desktop,/services,2,220,0,0,,0
S00240,U0167,2024-10-06,2024-10,2024-W40,Organic,Mobile,/tutors,3,194,0,0,,0
S00241,U0064,2024-10-06,2024-10,2024-W40,Direct,Tablet,/,1,49,0,0,,0
S00242,U0040,2024-10-06,2024-10,2024-W40,Organic,Mobile,/about,2,460,0,0,,0
S00243,U0168,2024-10-06,2024-10,2024-W40,Email,Desktop,/services,1,245,0,1,,1
S00244,U0169,2024-10-06,2024-10,2024-W40,Organic,Tablet,/,5,772,0,1,,0
S00245,U0095,2024-10-06,2024-10,2024-W40,Direct,Mobile,/,3,108,0,0,,0
S00246,U0170,2024-10-06,2024-10,2024-W40,Email,Desktop,/services,4,172,0,1,,0
S00247,U0042,2024-10-06,2024-10,2024-W40,Paid,Mobile,/tutors,2,367,0,0,,0
S00248,U0007,2024-10-06,2024-10,2024-W40,Social,Desktop,/pricing,4,170,0,0,,0
S00249,U0171,2024-10-06,2024-10,2024-W40,Direct,Mobile,/about,5,126,0,1,,0
S00250,U0172,2024-10-06,2024-10,2024-W40,Social,Desktop,/,2,505,0,1,,0
S00251,U0152,2024-10-06,2024-10,2024-W40,Social,Mobile,/services,3,154,0,0,,0
S00252,U0173,2024-10-06,2024-10,2024-W40,Paid,Desktop,/,5,71,0,1,,0
S00253,U0174,2024-10-06,2024-10,2024-W40,Organic,Mobile,/about,3,760,0,1,,0
S00254,U0175,2024-10-06,2024-10,2024-W40,Social,Mobile,/services,4,216,0,1,,0
S00255,U0176,2024-10-06,2024-10,2024-W40,Direct,Mobile,/,3,81,0,1,,0
S00256,U0177,2024-10-06,2024-10,2024-W40,Organic,Desktop,/,7,121,0,1,,0
S00257,U0178,2024-10-06,2024-10,2024-W40,Email,Desktop,/pricing,2,124,0,1,,0
S00258,U0179,2024-10-06,2024-10,2024-W40,Organic,Mobile,/,3,212,0,1,,0
S00259,U0180,2024-10-06,2024-10,2024-W40,Organic,Mobile,/services,5,323,0,1,,0
S00260,U0181,2024-10-06,2024-10,2024-W40,Direct,Mobile,/services,3,309,0,1,,0
S00261,U0182,2024-10-06,2024-10,2024-W40,Organic,Mobile,/contact,5,151,0,1,,0
S00262,U0183,2024-10-06,2024-10,2024-W40,Email,Desktop,/pricing,3,254,0,1,,0
S00263,U0184,2024-10-06,2024-10,2024-W40,Direct,Desktop,/,3,40,0,1,,0
S00264,U0185,2024-10-06,2024-10,2024-W40,Social,Mobile,/,4,143,0,1,,0
S00265,U0186,2024-10-06,2024-10,2024-W40,Email,Desktop,/,2,191,0,1,,0
S00266,U0187,2024-10-06,2024-10,2024-W40,Organic,Mobile,/services,6,459,0,1,,0
S00267,U0188,2024-10-06,2024-10,2024-W40,Email,Mobile,/services,4,162,0,1,,0
S00268,U0116,2024-10-07,2024-10,2024-W41,Direct,Mobile,/,5,388,0,0,,0
S00269,U0189,2024-10-07,2024-10,2024-W41,Organic,Desktop,/,2,151,0,1,,0
S00270,U0190,2024-10-07,2024-10,2024-W41,Direct,Desktop,/,1,34,0,1,,1
S00271,U0191,2024-10-07,2024-10,2024-W41,Organic,Desktop,/,4,431,0,1,,0
S00272,U0067,2024-10-07,2024-10,2024-W41,Direct,Desktop,/,6,114,0,0,,0
S00273,U0192,2024-10-07,2024-10,2024-W41,Organic,Desktop,/tutors,6,352,0,1,,0
S00274,U0003,2024-10-07,2024-10,2024-W41,Organic,Desktop,/tutors,1,156,0,0,,0
S00275,U0062,2024-10-07,2024-10,2024-W41,Organic,Desktop,/,2,32,0,0,,0
S00276,U0193,2024-10-07,2024-10,2024-W41,Organic,Desktop,/tutors,5,101,0,1,,0
S00277,U0194,2024-10-07,2024-10,2024-W41,Social,Mobile,/services,2,245,0,1,,0
S00278,U0195,2024-10-07,2024-10,2024-W41,Organic,Desktop,/,3,301,0,1,,0
S00279,U0057,2024-10-07,2024-10,2024-W41,Organic,Mobile,/,5,498,0,0,,0
S00280,U0170,2024-10-07,2024-10,2024-W41,Email,Desktop,/tutors,7,90,0,0,,0
S00281,U0196,2024-10-07,2024-10,2024-W41,Email,Mobile,/,3,75,0,1,,0
S00282,U0197,2024-10-07,2024-10,2024-W41,Organic,Mobile,/services,2,130,0,1,,0
S00283,U0198,2024-10-07,2024-10,2024-W41,Organic,Mobile,/services,4,49,0,1,,0
S00284,U0065,2024-10-07,2024-10,2024-W41,Organic,Desktop,/,2,501,0,0,,0
